mission_id,sku_count,pct_of_total
everyday_crossbody,158,34.7
work_tote,133,29.2
micro_mini_impulse,112,24.6
travel_utility,78,17.1
occasion_glam,40,8.8
slg_small_leathers,27,5.9
weekend_bucket,9,2.0
value_mass,4,0.9
statement_fashion,1,0.2
eco_conscious,1,0.2
