product_id,source,brand,product_name,leaf_category,price,original_price,discount_percent,is_on_sale,rating,review_count,description,material_text,dimensions,image_url,color_count,timestamp,product_url
CP047,jcrew,J.Crew,Berkeley small shoulder bag in patent leather,bags,178,,,False,4.81858407079646,226,"Part of our best-selling Berkeley family, this textured leather shoulder bag comes in our slightly smaller size, with just enough room for all of your essentials. It's finished with signature gold-tone hardware, an adjustable shoulder strap and a magnetic closure—so it's as practical as it is polished.100% leather.Select stores.Item CP047.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Select stores. Item CP047.,"5 3/4""H x 9 7/8""W x 3 1/2""D. 5 1/2""–7 1/2"" adjustable handle drop. 46"" crossbody strap.","https://www.jcrew.com/s7-img-facade/CP047_RD0204?hei=1950&crop=0,0,1560,0",1,2026-02-23T13:14:48Z,https://www.jcrew.com/p/womens/categories/accessories/bags/berkeley/CP047?display=all&fit=Classic&colorProductCode=CP047&colorCode=RD0204
CP090,jcrew,J.Crew,Filson® rugged twill duffel bag,Bags & Wallets,916.49,595,,False,5.0,1,"some of the toughest outerwear on the market—and they've been doing it since the late 1800s. A best seller since 1990 and made in the U.S., this duffel bag is designed with industrial-strength rugged twill and bridled leather with an adjustable (and removable) shoulder strap, plus handles that wrap around to securely cradle heavy loads. It's sized to fit in an overhead and built to survive even the most extreme long weekends and multiday trips.Rugged cotton twill.Leather bridle.Spot clean.Made in the USA of imported fabric.Select stores.Item CP090.",Rugged cotton twill. Leather bridle. Spot clean. Made in the USA of imported fabric. Select stores. Item CP090.,"20""L x 12""W X 13""H. 43-liter capacity.","https://www.jcrew.com/s7-img-facade/CP090_EE9149?hei=1950&crop=0,0,1560,0",1,2026-02-23T13:15:26Z,https://www.jcrew.com/p/mens/categories/accessories/bags/travel-bags/CP090?display=all&fit=Classic&colorProductCode=CP090&colorCode=EE9149
CQ855,jcrew,J.Crew,Tortoiseshell phone chain,bags,76.25,,,False,4.142857142857143,7,"Add a personal touch to your tech with this luxe tortoiseshell chain. Pro tip: Wear it around your wrist to hold your phone hands-free (while looking superpolished at the same time).Gold-plated zinc, gold-plated aluminum, cubic zirconia.Imported.Select stores.Item CQ855.","Gold-plated zinc, gold-plated aluminum, cubic zirconia. Imported. Select stores. Item CQ855.","Length: 12 1/2"".","https://www.jcrew.com/s7-img-facade/CQ855_BR6803?hei=1950&crop=0,0,1560,0",2,2026-02-23T13:15:59Z,https://www.jcrew.com/p/womens/categories/accessories/bags/phone-chains/CQ855?display=all&fit=Classic&colorProductCode=CQ855&colorCode=BR6803
N7757,jcrew,J.Crew,Bembien® le sac bag,bags,446.7,290,,False,2.0,1,"from around the world. Ten percent of all Bembien proceeds goes to Nest, a nonprofit dedicated to the social and economic advancement of artisan communities all around the globe. A chic shoulder bag with a slouchy silhouette for a touch of seventies nostalgia. Roomy enough to carry your daytime essentials, in a timeless design that's perfect for wine-filled dinners and wherever summer takes you. The shoulder strap slips over woolly sweaters and coats for year-round versatility.Cow leather.Spot clean.Import.Online only.Item N7757.",Cow leather. Spot clean. Import. Online only. Item N7757.,"12"" x 7"" x 2"".","https://www.jcrew.com/s7-img-facade/N7757_BR1123?hei=1950&crop=0,0,1560,0",3,2026-02-23T13:16:33Z,https://www.jcrew.com/p/womens/categories/accessories/bags/shoulder-bags/N7757?display=all&fit=Classic&colorProductCode=N7757&colorCode=BR1123
P3336,jcrew,J.Crew,Just Dutch handmade Miffy doll in pink dress and tulip bag,girls,61.61,38,,False,5.0,1,"Miffy, to life with handmade crochet dolls crafted from soft organic cotton and eco-friendly materials, inviting children to create endless adventures. Featuring colorful changeable outfits, each doll is thoughtfully made by differently abled artisans in Vietnam, blending Dutch design, imaginative storytelling and meaningful social impact. Miffy is wearing her favorite pink dress and has picked up her tulip bag, ready to greet the sunny day with curiosity. She is planning a sweet surprise for a dear friend and hopes you will join her to share in the joy. Wherever her imagination takes her, Miffy brings along a sense of wonder, kindness and care. Handmade with soft cotton and thoughtful detail, this Miffy doll is a sweet companion for children and collectors alike. Her simple outfit invites open-ended play and gentle storytelling, encouraging little ones to create their own adventures. Inspired by Dutch design and the colors of spring, she brings charm, calm and creativity into any space she joins.Cotton.Embroidered eyes.Handmade.Hand wash.Imported.Online only.Item P3336.",Cotton. Embroidered eyes. Handmade. Hand wash. Imported. Online only. Item P3336.,"10""H x 4""W x 2""D. Suitable for children aged three and older.","https://www.jcrew.com/s7-img-facade/P3336_EF0363?hei=1950&crop=0,0,1560,0",2,2026-02-23T13:17:08Z,https://www.jcrew.com/p/girls/categories/accessories/fun-finds/P3336?display=all&fit=Classic&colorProductCode=P3336&colorCode=EF0363
CK154,jcrew,J.Crew,Metallic link phone chain,bags,76.25,,,False,3.909090909090909,11,"Add a personal touch to your tech with this metallic chain that matches back to our jewelry collection. Pro tip: Wear it around your wrist to hold your phone hands-free (while looking superpolished at the same time).Gold-plated zinc, gold-plated aluminum, cubic zirconia.Imported.Select stores.Item CK154.","Gold-plated zinc, gold-plated aluminum, cubic zirconia. Imported. Select stores. Item CK154.","Length: 12 1/2"".","https://www.jcrew.com/s7-img-facade/CK154_YL5433_m?hei=1950&crop=0,0,1560,0",2,2026-02-23T13:17:21Z,https://www.jcrew.com/p/womens/categories/accessories/bags/phone-chains/CK154?display=all&fit=Classic&colorProductCode=CK154&colorCode=YL5433
M7121,jcrew,J.Crew,Bembien® Gabrielle bag,bags,693.15,450,,True,1.0,1,"from around the world. Ten percent of all Bembien proceeds goes to Nest, a nonprofit dedicated to the social and economic advancement of artisan communities all around the globe. Our largest tote bag. A carryall tote handcrafted in woven leather with two braided shoulder straps and a magnetic closure. Fits your 16"" laptop, water bottle and change of shoes.Leather.Imported.Online only.Item M7121.",Leather. Imported. Online only. Item M7121.,"18""H x 13""W x 4""D.","https://www.jcrew.com/s7-img-facade/M7121_WC6066?hei=1950&crop=0,0,1560,0",3,2026-02-23T13:17:42Z,https://www.jcrew.com/p/womens/categories/accessories/bags/totes/M7121?display=all&fit=Classic&colorProductCode=M7121&colorCode=WC6066
CJ926,jcrew,J.Crew,Tortoise shell clutch,bags,227.97,148,,False,4.842105263157895,19,This ultracool tortoise shell clutch features an open geometric design that holds all of your essentials with ease. (Bonus: It's a total conversation starter.)Acetate.Imported.Select stores.Item CJ926.,Acetate. Imported. Select stores. Item CJ926.,"6 7/8""H x 8""W x 2 1/2""D.","https://www.jcrew.com/s7-img-facade/CJ926_EE4347_m?hei=1950&crop=0,0,1560,0",2,2026-02-23T13:18:22Z,https://www.jcrew.com/p/womens/categories/accessories/bags/clutches-and-pouches/CJ926?display=all&fit=Classic&colorProductCode=CJ926&colorCode=EE4347
CR877,jcrew,J.Crew,Berkeley bucket bag in leather,women,351.2,228,,False,,,"This timeless bucket bag is roomy enough to fit your laptop and polished enough to take anywhere, with an easy tie closure. Crafted in colorful leather that holds its shape—and its own—it's the polished carryall you've been asking for.100% leather.Imported.Online only.Item CR877.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Imported. Online only. Item CR877.,"12 1/2""H x 13 1/4""W x 5 7/8""D. 9"" strap drop.","https://www.jcrew.com/s7-img-facade/CR877_PK0312?hei=1950&crop=0,0,1560,0",1,2026-02-23T13:18:55Z,https://www.jcrew.com/p/womens/categories/accessories/bags/CR877?display=all&fit=Classic&colorProductCode=CR877&colorCode=PK0312
CR658,jcrew,J.Crew,Girls' floral crossbody bag with sequins,girls,100.12,65,,False,,,"Nothing says spring like this one of a kind purse, covered in sequin-embellished blooms. Detail we love: the beaded crossbody strap.Polyester, acrylic.This item has small parts and is not intended for use by children under three years of age.Spot clean.Imported.Item CR658.","Polyester, acrylic. This item has small parts and is not intended for use by children under three years of age. Spot clean. Imported. Item CR658.",,"https://www.jcrew.com/s7-img-facade/CR658_EX0372?hei=1950&crop=0,0,1560,0",1,2026-02-23T13:19:28Z,https://www.jcrew.com/p/girls/categories/accessories/bags/CR658?display=all&fit=Classic&colorProductCode=CR658&colorCode=EX0372
