availability_text,average_rating,best_seller_flag,brand,care_instructions,category_breadcrumb,color_options,description,dimensions,dimensions_section,image_count,image_url,images_list,is_sale,material_text,materials_section,name,new_arrival_flag,price_currency,price_current,price_original,product_details,product_id,product_url,promo_excluded,rating_count,review_count,scrape_date,size_options,sku,sold_shipped_by
,,,Aritzia,Care: Wipe with damp cloth | Imported,Product > Valet garment bag,Soft Macadamia White,100% cotton garment bag,Dimensions: 59h x 140d centimetres (23 1/4h x 55 1/8d inches),Dimensions: 59h x 140d centimetres (23 1/4h x 55 1/8d inches),5,https://assets.aritzia.com/image/upload/f24_n08_123587_31770_on_a,https://assets.aritzia.com/image/upload/f24_n08_123587_31770_on_a | https://assets.aritzia.com/image/upload/f24_n08_123587_31770_off_a | https://assets.aritzia.com/image/upload/f24_n08_123587_31770_off_b | https://assets.aritzia.com/image/upload/f24_n08_123587_31770_off_c | https://assets.aritzia.com/image/upload/f24_n08_123587_31770_off_d,False,Content: 100% cotton,Content: 100% cotton,Valet Garment Bag,,INR,3900,,"Final boarding call This is a tie-closure garment bag designed to store our tailored coats. It comes with a wooden hanger. It’s made with naturally breathable midweight 100% cotton. This material is undyed, meaning the colour comes from the yarn’s natural fibres. Final boarding call Final boarding call This is a tie-closure garment bag designed to store our tailored coats. This is a tie-closure garment bag designed to store our tailored coats. | Features: Dimensions: 59h x 140d centimetres (23 1/4h x 55 1/8d inches) | Handle Drop: 22 centimetres (8 11/16 inches) | Designed to store our tailored coats | Comes with a wooden hanger",123587,https://www.aritzia.com/intl/en/product/valet-garment-bag/123587.html?color=31770,,,,2026-02-22,,123587,
,,,Aritzia,Care: Wipe with damp cloth | Imported,Product > Awayday tote,Matera Sand /Black | PRIMER WT /TONAL,Handmade raffia-like tote bag,Dimensions: 17w x 39h x 15d centimeters (6 11/16w x 15 3/8h x 5 7/8d inches),Dimensions: 17w x 39h x 15d centimeters (6 11/16w x 15 3/8h x 5 7/8d inches),8,https://assets.aritzia.com/image/upload/s26_n08_130743_34586_on_a,https://assets.aritzia.com/image/upload/s26_n08_130743_34586_on_a | https://assets.aritzia.com/image/upload/s26_n08_130743_34586_on_b | https://assets.aritzia.com/image/upload/s26_n08_130743_34586_on_c | https://assets.aritzia.com/image/upload/s26_n08_130743_34586_off_a | https://assets.aritzia.com/image/upload/s26_n08_130743_34586_off_b | https://assets.aritzia.com/image/upload/s26_n08_130743_34586_off_c | https://assets.aritzia.com/image/upload/s26_n08_130743_34586_off_d | https://assets.aritzia.com/image/upload/s26_n08_130743_34586_off_h,False,Content: 100% polypropylene,Content: 100% polypropylene,Awayday Tote,,INR,12000,,The Amalfi Coast is calling This is a tote bag with exclusive Aritzia branding. It’s made from lightweight raffia-like material and made by hand so that no two are exactly alike. The Amalfi Coast is calling The Amalfi Coast is calling This is a tote bag with exclusive Aritzia branding. This is a tote bag with exclusive Aritzia branding. | Features: Dimensions: 17w x 39h x 15d centimeters (6 11/16w x 15 3/8h x 5 7/8d inches) | Handle Drop: 18 centimetres (7 1/16 inches) | Handmade | Exclusive Aritzia branding,130743,https://www.aritzia.com/intl/en/product/awayday-tote/130743.html?color=34586,,,,2026-02-22,,130743,
,,,Aritzia,Care: Dry clean | Imported,Product > Awayday tote,Matera Snd /Matera Snd | MATERA SAND /BLACK,Handmade straw tote bag,Dimensions: 17w x 39h x 15d centimeters (6 11/16w x 15 3/8h x 5 7/8d inches),Dimensions: 17w x 39h x 15d centimeters (6 11/16w x 15 3/8h x 5 7/8d inches),10,https://assets.aritzia.com/image/upload/s25_n08_116025_34584_on_a,https://assets.aritzia.com/image/upload/s25_n08_116025_34584_on_a | https://assets.aritzia.com/image/upload/s25_n08_116025_34584_on_b | https://assets.aritzia.com/image/upload/s25_n08_116025_34584_on_c | https://assets.aritzia.com/image/upload/s25_n08_116025_34584_on_f | https://assets.aritzia.com/image/upload/s25_n08_116025_34584_on_g | https://assets.aritzia.com/image/upload/s25_n08_116025_34584_on_h | https://assets.aritzia.com/image/upload/s25_n08_116025_34584_off_a | https://assets.aritzia.com/image/upload/s25_n08_116025_34584_off_b | https://assets.aritzia.com/image/upload/s25_n08_116025_34584_off_c | https://assets.aritzia.com/image/upload/s25_n08_116025_34584_off_d,False,Content: 100% polypropylene,Content: 100% polypropylene,Awayday Tote,,INR,12000,,"Pick up The Amalfi Coast is calling. This is a tote bag with exclusive Aritzia branding. It’s made from lightweight raffia-like material and made by hand so that no two are exactly alike. The Amalfi Coast is calling. | Features: Dimensions: 17w x 39h x 15d centimeters (6 11/16w x 15 3/8h x 5 7/8d inches) | Handle Drop: 18 centimetres (7 1/16 inches) | Model is 5'10""/177cm wearing a size 2XS | Handmade | Exclusive Aritzia branding",116025,https://www.aritzia.com/intl/en/product/awayday-tote/116025.html?color=34584,,,,2026-02-22,,116025,
final sale,,,Tna,Care: Wipe with damp cloth | Imported,Product > Berra backpack,Black | NIGHTSHADE BLUE,Nylon twill water-repellent backpack,Dimensions: 27w x 43l x 15d centimetres (10 5/8w x 16 15/16l x 5 7/8d inches),Dimensions: 27w x 43l x 15d centimetres (10 5/8w x 16 15/16l x 5 7/8d inches),6,https://assets.aritzia.com/image/upload/f24_n08_120491_1274_on_a,https://assets.aritzia.com/image/upload/f24_n08_120491_1274_on_a | https://assets.aritzia.com/image/upload/f24_n08_120491_1274_on_b | https://assets.aritzia.com/image/upload/f24_n08_120491_1274_off_a | https://assets.aritzia.com/image/upload/f24_n08_120491_1274_off_b | https://assets.aritzia.com/image/upload/f24_n08_120491_1274_off_c | https://assets.aritzia.com/image/upload/f24_n08_120491_1274_off_d,True,Content: 100% nylon; Lining: 100% polyester,Content: 100% nylon; Lining: 100% polyester,Berra Backpack,,INR,4000,10000,"Your commute just got a little cooler This is a structured backpack with a main zip closure, outer zippered pocket and interior drop pocket for a little extra organization. It's crafted with soft, water-repellent nylon twill. Please note, this item is final sale Your commute just got a little cooler Your commute just got a little cooler This is a structured backpack with a main zip closure, outer zippered pocket and interior drop pocket for a little extra organization. This is a structured backpack with a main zip closure, outer zippered pocket and interior drop pocket for a little extra organization. Please note, this item is final sale Please note, this item is final sale Please note, this item is final sale. | Features: Dimensions: 27w x 43l x 15d centimetres (10 5/8w x 16 15/16l x 5 7/8d inches) | Model is 5' 8.5""/173.99cm wearing a size 2XS | Main zippered pocket | Front zippered pocket | Interior drop pocket | Adjustable shoulder straps",120491,https://www.aritzia.com/intl/en/product/berra-backpack/120491.html?color=1274,,,,2026-02-22,,120491,
,,,Aritzia,Care: Wipe with damp cloth | Imported,Product > Awayday tote,Primer Wt /Tonal | MATERA SAND /BLACK,Handmade raffia-like tote bag,Dimensions: 17w x 39h x 15d centimeters (6 11/16w x 15 3/8h x 5 7/8d inches),Dimensions: 17w x 39h x 15d centimeters (6 11/16w x 15 3/8h x 5 7/8d inches),8,https://assets.aritzia.com/image/upload/s26_n08_130743_35251_on_a,https://assets.aritzia.com/image/upload/s26_n08_130743_35251_on_a | https://assets.aritzia.com/image/upload/s26_n08_130743_35251_on_b | https://assets.aritzia.com/image/upload/s26_n08_130743_35251_on_c | https://assets.aritzia.com/image/upload/s26_n08_130743_35251_off_a | https://assets.aritzia.com/image/upload/s26_n08_130743_35251_off_b | https://assets.aritzia.com/image/upload/s26_n08_130743_35251_off_c | https://assets.aritzia.com/image/upload/s26_n08_130743_35251_off_d | https://assets.aritzia.com/image/upload/s26_n08_130743_35251_off_h,False,Content: 100% polypropylene,Content: 100% polypropylene,Awayday Tote,,INR,12000,,The Amalfi Coast is calling This is a tote bag with exclusive Aritzia branding. It’s made from lightweight raffia-like material and made by hand so that no two are exactly alike. The Amalfi Coast is calling The Amalfi Coast is calling This is a tote bag with exclusive Aritzia branding. This is a tote bag with exclusive Aritzia branding. | Features: Dimensions: 17w x 39h x 15d centimeters (6 11/16w x 15 3/8h x 5 7/8d inches) | Handle Drop: 18 centimetres (7 1/16 inches) | Handmade | Exclusive Aritzia branding,130743,https://www.aritzia.com/intl/en/product/awayday-tote/130743.html?color=35251,,,,2026-02-22,,130743,
,,,The Super Puff™,Care: Wipe with damp cloth | Imported,Product > The super puff%E2%84%A2 tote bag,Black,Hi-Gloss French satin puffer tote bag,Handle Drop: 31.5 centimetres (12 3/8 inches),Handle Drop: 31.5 centimetres (12 3/8 inches),6,https://assets.aritzia.com/image/upload/f25_n08_122201_1274_on_a,https://assets.aritzia.com/image/upload/f25_n08_122201_1274_on_a | https://assets.aritzia.com/image/upload/f25_n08_122201_1274_on_b | https://assets.aritzia.com/image/upload/f25_n08_122201_1274_off_a | https://assets.aritzia.com/image/upload/f25_n08_122201_1274_off_b | https://assets.aritzia.com/image/upload/f25_n08_122201_1274_off_d | https://assets.aritzia.com/image/upload/f25_n08_122201_1274_off_h,True,Origin: Fabric from France | Content: 100% polyamide,Origin: Fabric from France | Content: 100% polyamide,The Super Puff™ Tote Bag - Hi-Gloss,,INR,9100,13000,Super haul-it-all. For when your groceries and things get a little chilly. The Super Puff™ Tote Bag is constructed with a lightweight synthetic fill and is made with Hi-Gloss — water-repellent and wind-resistant taffeta from France with a glossy finish and a soft feel. | Features: Handle Drop: 31.5 centimetres (12 3/8 inches) | Fabric from an innovative French mill | Water-repellent and wind-resistant fabric | Interior slip pocket | Downproof construction | Zip closure on main compartment | Interior pocket with zip closure for secure storage | Exclusive Super Puff branding,122201,https://www.aritzia.com/intl/en/product/the-super-puff%E2%84%A2-tote-bag/122201.html?color=1274,,,,2026-02-22,,122201,
,,,Aritzia,Care: Wipe with damp cloth | Imported,Product > Valet multi garment bag,Soft Macadamia White,Gusseted 100% cotton garment bag,Dimensions: 144h x 59w x 7.5d centimetres (56 11/16h x 23 1/4w x 2 15/16d inches),Dimensions: 144h x 59w x 7.5d centimetres (56 11/16h x 23 1/4w x 2 15/16d inches),6,https://assets.aritzia.com/image/upload/f24_n08_124758_31770_on_a,https://assets.aritzia.com/image/upload/f24_n08_124758_31770_on_a | https://assets.aritzia.com/image/upload/f24_n08_124758_31770_on_b | https://assets.aritzia.com/image/upload/f24_n08_124758_31770_off_a | https://assets.aritzia.com/image/upload/f24_n08_124758_31770_off_b | https://assets.aritzia.com/image/upload/f24_n08_124758_31770_off_c | https://assets.aritzia.com/image/upload/f24_n08_124758_31770_off_d,False,Content: 100% cotton,Content: 100% cotton,Valet Multi Garment Bag,,INR,4900,,"You deserve pristine This is a gusseted garment bag designed to store multiple garments. It’s made with naturally breathable midweight 100% cotton. This material is undyed, meaning the colour comes from the yarn’s natural fibres. You deserve pristine You deserve pristine This is a gusseted garment bag designed to store multiple garments. This is a gusseted garment bag designed to store multiple garments. | Features: Dimensions: 144h x 59w x 7.5d centimetres (56 11/16h x 23 1/4w x 2 15/16d inches) | Handle Drop: 18 centimetres (7 1/16 inches) | Tie closure | Comes with a wooden hanger | Specifically designed to store our tailored coats",124758,https://www.aritzia.com/intl/en/product/valet-multi-garment-bag/124758.html?color=31770,,,,2026-02-22,,124758,
,,,The Super Puff™,Care: Wipe with damp cloth | Imported,Product > The super puff%E2%84%A2 tote bag,Black,Hi-Gloss French satin puffer tote bag,Handle Drop: 31.5 centimetres (12 3/8 inches),Handle Drop: 31.5 centimetres (12 3/8 inches),6,https://assets.aritzia.com/image/upload/f25_n08_122201_1274_on_a,https://assets.aritzia.com/image/upload/f25_n08_122201_1274_on_a | https://assets.aritzia.com/image/upload/f25_n08_122201_1274_on_b | https://assets.aritzia.com/image/upload/f25_n08_122201_1274_off_a | https://assets.aritzia.com/image/upload/f25_n08_122201_1274_off_b | https://assets.aritzia.com/image/upload/f25_n08_122201_1274_off_d | https://assets.aritzia.com/image/upload/f25_n08_122201_1274_off_h,True,Origin: Fabric from France | Content: 100% polyamide,Origin: Fabric from France | Content: 100% polyamide,The Super Puff™ Tote Bag - Hi-Gloss,,INR,9100,13000,Super haul-it-all. For when your groceries and things get a little chilly. The Super Puff™ Tote Bag is constructed with a lightweight synthetic fill and is made with Hi-Gloss — water-repellent and wind-resistant taffeta from France with a glossy finish and a soft feel. | Features: Handle Drop: 31.5 centimetres (12 3/8 inches) | Fabric from an innovative French mill | Water-repellent and wind-resistant fabric | Interior slip pocket | Downproof construction | Zip closure on main compartment | Interior pocket with zip closure for secure storage | Exclusive Super Puff branding,122201,https://www.aritzia.com/intl/en/product/the-super-puff™-tote-bag/122201.html?color=1274,,,,2026-02-22,,122201,
