mission_id,abercrombie,aritzia,gap,jcrew,target
campus_student,0.0,4.761904761904762,42.857142857142854,19.047619047619047,33.33333333333333
convertible_multiway,1.694915254237288,0.0,1.694915254237288,30.508474576271187,66.10169491525424
eco_conscious,2.247191011235955,0.0,52.80898876404494,13.48314606741573,31.46067415730337
everyday_crossbody,1.8181818181818181,0.0,9.090909090909092,20.0,69.0909090909091
festival_outdoor,7.6923076923076925,0.0,30.76923076923077,0.0,61.53846153846154
gifting_ready,9.67741935483871,0.0,58.06451612903226,22.58064516129032,9.67741935483871
gym_active,7.6923076923076925,0.0,46.15384615384615,30.76923076923077,15.384615384615385
luxury_signal,0.0,0.0,0.0,100.0,0.0
micro_mini_impulse,1.4925373134328357,0.0,56.71641791044776,11.194029850746269,30.597014925373134
minimal_modern,0.0,6.666666666666667,66.66666666666666,13.333333333333334,13.333333333333334
occasion_glam,0.0,2.0,2.0,52.0,44.0
oversized_carryall,3.3333333333333335,0.0,6.666666666666667,50.0,40.0
slg_small_leathers,0.0,0.0,0.0,37.5,62.5
statement_fashion,7.142857142857142,2.380952380952381,21.428571428571427,42.857142857142854,26.190476190476193
travel_utility,7.547169811320755,5.660377358490567,39.62264150943396,22.641509433962266,24.528301886792452
value_mass,0.8163265306122449,0.0,42.44897959183673,2.0408163265306123,54.69387755102041
weekend_bucket,6.557377049180328,0.0,29.508196721311474,22.950819672131146,40.98360655737705
work_tote,15.384615384615385,0.0,7.6923076923076925,53.84615384615385,23.076923076923077
