source,brand,category,mission,price_band,sku_count,category_total,density
gap,gap,"Bags, Scarves & More",travel_utility,75_plus,2,77,0.025974
gap,gap,"Bags, Scarves & More",weekend_bucket,15_25,5,77,0.064935
gap,gap,"Bags, Scarves & More",weekend_bucket,25_35,4,77,0.051948
gap,gap,"Bags, Scarves & More",weekend_bucket,35_50,3,77,0.038961
gap,gap,"Bags, Scarves & More",weekend_bucket,50_75,5,77,0.064935
gap,gap,"Bags, Scarves & More",work_tote,75_plus,1,77,0.012987
gap,gap,Shoes & Accessories,micro_mini_impulse,35_50,5,5,1.0
gap,gap,Shop All Accessories,campus_student,15_25,3,45,0.066667
gap,gap,Shop All Accessories,campus_student,25_35,2,45,0.044444
gap,gap,Shop All Accessories,campus_student,35_50,3,45,0.066667
gap,gap,Shop All Accessories,everyday_crossbody,0_15,1,45,0.022222
gap,gap,Shop All Accessories,everyday_crossbody,25_35,2,45,0.044444
gap,gap,Shop All Accessories,festival_outdoor,25_35,2,45,0.044444
gap,gap,Shop All Accessories,gym_active,25_35,2,45,0.044444
gap,gap,Shop All Accessories,micro_mini_impulse,0_15,1,45,0.022222
gap,gap,Shop All Accessories,micro_mini_impulse,15_25,5,45,0.111111
gap,gap,Shop All Accessories,micro_mini_impulse,35_50,3,45,0.066667
gap,gap,Shop All Accessories,oversized_carryall,25_35,1,45,0.022222
gap,gap,Shop All Accessories,travel_utility,15_25,4,45,0.088889
gap,gap,Shop All Accessories,travel_utility,25_35,3,45,0.066667
gap,gap,Shop All Accessories,travel_utility,35_50,1,45,0.022222
gap,gap,Shop All Accessories,travel_utility,50_75,1,45,0.022222
gap,gap,Shop All Accessories,travel_utility,75_plus,5,45,0.111111
gap,gap,Shop All Accessories,value_mass,15_25,5,45,0.111111
gap,gap,Shop All Accessories,weekend_bucket,25_35,1,45,0.022222
gap,gap,product.do,everyday_crossbody,50_75,1,1,1.0
j.crew,j.crew,Bags & Wallets,oversized_carryall,75_plus,5,13,0.384615
j.crew,j.crew,Bags & Wallets,slg_small_leathers,75_plus,6,13,0.461538
j.crew,j.crew,Bags & Wallets,travel_utility,75_plus,1,13,0.076923
j.crew,j.crew,Bags & Wallets,work_tote,75_plus,1,13,0.076923
j.crew,j.crew,Bottoms,value_mass,50_75,2,2,1.0
j.crew,j.crew,"Candles, Grooming & Home",travel_utility,75_plus,2,2,1.0
j.crew,j.crew,bags,convertible_multiway,75_plus,2,63,0.031746
j.crew,j.crew,bags,eco_conscious,75_plus,1,63,0.015873
j.crew,j.crew,bags,everyday_crossbody,75_plus,6,63,0.095238
j.crew,j.crew,bags,gym_active,75_plus,3,63,0.047619
j.crew,j.crew,bags,luxury_signal,75_plus,8,63,0.126984
j.crew,j.crew,bags,micro_mini_impulse,75_plus,7,63,0.111111
j.crew,j.crew,bags,minimal_modern,75_plus,2,63,0.031746
j.crew,j.crew,bags,occasion_glam,75_plus,17,63,0.269841
j.crew,j.crew,bags,oversized_carryall,75_plus,3,63,0.047619
j.crew,j.crew,bags,statement_fashion,75_plus,1,63,0.015873
j.crew,j.crew,bags,travel_utility,75_plus,2,63,0.031746
j.crew,j.crew,bags,value_mass,25_35,1,63,0.015873
j.crew,j.crew,bags,weekend_bucket,75_plus,6,63,0.095238
j.crew,j.crew,bags,work_tote,75_plus,4,63,0.063492
j.crew,j.crew,boys,campus_student,75_plus,2,2,1.0
j.crew,j.crew,girls,gifting_ready,50_75,1,7,0.142857
j.crew,j.crew,girls,gym_active,75_plus,1,7,0.142857
j.crew,j.crew,girls,micro_mini_impulse,75_plus,3,7,0.428571
j.crew,j.crew,girls,occasion_glam,75_plus,2,7,0.285714
j.crew,j.crew,women,everyday_crossbody,75_plus,3,10,0.3
j.crew,j.crew,women,occasion_glam,75_plus,2,10,0.2
j.crew,j.crew,women,oversized_carryall,75_plus,1,10,0.1
j.crew,j.crew,women,weekend_bucket,75_plus,3,10,0.3
j.crew,j.crew,women,work_tote,75_plus,1,10,0.1
shade & shore,shade & shore,Beach Bags,eco_conscious,15_25,1,8,0.125
shade & shore,shade & shore,Beach Bags,everyday_crossbody,25_35,1,8,0.125
shade & shore,shade & shore,Beach Bags,gym_active,25_35,1,8,0.125
